,year,month,Purchase amount,Purchase quantity
0,1990,1,183,284
1,1990,2,244,364
2,1990,3,276,382
3,1990,4,342,408
4,1990,5,427,496
5,1990,6,312,408
6,1990,7,205,291
7,1990,8,173,243
8,1990,9,212,307
9,1990,10,272,432
10,1990,11,238,367
11,1990,12,245,374
12,1991,1,220,297
13,1991,2,276,372
14,1991,3,308,390
15,1991,4,375,390
16,1991,5,541,453
17,1991,6,422,436
18,1991,7,312,318
19,1991,8,286,286
20,1991,9,298,356
21,1991,10,336,460
22,1991,11,288,386
23,1991,12,261,351
24,1992,1,232,286
25,1992,2,297,365
26,1992,3,333,396
27,1992,4,375,412
28,1992,5,442,500
29,1992,6,335,461
30,1992,7,202,302
31,1992,8,179,268
32,1992,9,214,317
33,1992,10,258,419
34,1992,11,215,338
35,1992,12,216,345
36,1993,1,194,286
37,1993,2,248,370
38,1993,3,276,413
39,1993,4,307,395
40,1993,5,411,459
41,1993,6,357,432
42,1993,7,271,342
43,1993,8,241,271
44,1993,9,273,343
45,1993,10,303,462
46,1993,11,208,321
47,1993,12,230,353
48,1994,1,212,293
49,1994,2,253,353
50,1994,3,277,358
51,1994,4,310,352
52,1994,5,376,447
53,1994,6,306,396
54,1994,7,186,264
55,1994,8,169,236
56,1994,9,207,300
57,1994,10,254,410
58,1994,11,204,307
59,1994,12,211,313
60,1995,1,209,277
61,1995,2,258,343
62,1995,3,295,365
63,1995,4,356,387
64,1995,5,461,450
65,1995,6,374,424
66,1995,7,212,266
67,1995,8,166,223
68,1995,9,231,329
69,1995,10,239,392
70,1995,11,225,367
71,1995,12,216,338
72,1996,1,200,282
73,1996,2,264,365
74,1996,3,293,373
75,1996,4,371,373
76,1996,5,481,460
77,1996,6,360,454
78,1996,7,222,300
79,1996,8,190,241
80,1996,9,239,343
81,1996,10,267,429
82,1996,11,231,366
83,1996,12,228,343
84,1997,1,212,294
85,1997,2,247,346
86,1997,3,293,388
87,1997,4,331,401
88,1997,5,346,452
89,1997,6,273,395
90,1997,7,174,274
91,1997,8,163,237
92,1997,9,200,293
93,1997,10,248,438
94,1997,11,201,336
95,1997,12,204,345
96,1998,1,201,315
97,1998,2,221,346
98,1998,3,260,382
99,1998,4,296,375
100,1998,5,375,423
101,1998,6,325,372
102,1998,7,211,241
103,1998,8,195,245
104,1998,9,243,359
105,1998,10,292,475
106,1998,11,227,345
107,1998,12,230,333
108,1999,1,225,294
109,1999,2,264,334
110,1999,3,305,358
111,1999,4,353,365
112,1999,5,405,425
113,1999,6,303,374
114,1999,7,195,259
115,1999,8,176,231
116,1999,9,214,310
117,1999,10,248,376
118,1999,11,215,331
119,1999,12,217,325
120,2000,1,209,286
121,2000,2,275,370
122,2000,3,301,359
123,2000,4,355,385
124,2000,5,373,444
125,2000,6,264,398
126,2000,7,162,262
127,2000,8,143,217
128,2000,9,203,327
129,2000,10,231,378
130,2000,11,201,332
131,2000,12,206,314
132,2001,1,210,300
133,2001,2,239,346
134,2001,3,253,361
135,2001,4,280,357
136,2001,5,328,413
137,2001,6,253,353
138,2001,7,163,225
139,2001,8,152,206
140,2001,9,197,309
141,2001,10,212,370
142,2001,11,182,318
143,2001,12,182,317
144,2002,1,177,293
145,2002,2,201,360
146,2002,3,223,358
147,2002,4,251,369
148,2002,5,301,449
149,2002,6,199,337
150,2002,7,130,217
151,2002,8,133,199
152,2002,9,171,278
153,2002,10,188,346
154,2002,11,178,296
155,2002,12,189,325
156,2003,1,181,291
157,2003,2,214,333
158,2003,3,255,342
159,2003,4,303,339
160,2003,5,352,407
161,2003,6,255,352
162,2003,7,172,248
163,2003,8,145,213
164,2003,9,187,254
165,2003,10,198,368
166,2003,11,162,290
167,2003,12,175,283
168,2004,1,190,268
169,2004,2,223,306
170,2004,3,267,344
171,2004,4,292,347
172,2004,5,322,418
173,2004,6,224,319
174,2004,7,141,217
175,2004,8,138,189
176,2004,9,192,286
177,2004,10,213,354
178,2004,11,182,296
179,2004,12,186,295
180,2005,1,198,287
181,2005,2,223,336
182,2005,3,254,349
183,2005,4,272,336
184,2005,5,330,376
185,2005,6,225,327
186,2005,7,153,213
187,2005,8,147,192
188,2005,9,194,290
189,2005,10,222,353
190,2005,11,178,319
191,2005,12,190,304
192,2006,1,187,279
193,2006,2,213,315
194,2006,3,251,352
195,2006,4,287,360
196,2006,5,309,411
197,2006,6,239,348
198,2006,7,173,261
199,2006,8,139,191
200,2006,9,179,263
201,2006,10,199,332
202,2006,11,174,283
203,2006,12,188,312
204,2007,1,198,288
205,2007,2,214,327
206,2007,3,250,359
207,2007,4,277,371
208,2007,5,291,431
209,2007,6,211,333
210,2007,7,142,246
211,2007,8,125,195
212,2007,9,168,295
213,2007,10,198,334
214,2007,11,170,314
215,2007,12,175,304
216,2008,1,193,316
217,2008,2,227,363
218,2008,3,248,391
219,2008,4,279,385
220,2008,5,319,427
221,2008,6,238,347
222,2008,7,142,203
223,2008,8,134,210
224,2008,9,172,277
225,2008,10,194,324
226,2008,11,176,302
227,2008,12,177,298
228,2009,1,193,307
229,2009,2,210,343
230,2009,3,245,375
231,2009,4,271,365
232,2009,5,307,406
233,2009,6,230,325
234,2009,7,157,217
235,2009,8,180,205
236,2009,9,201,300
237,2009,10,214,353
238,2009,11,184,295
239,2009,12,185,273
240,2010,1,203,302
241,2010,2,220,328
242,2010,3,256,344
243,2010,4,292,355
244,2010,5,341,377
245,2010,6,272,319
246,2010,7,175,213
247,2010,8,147,198
248,2010,9,188,248
249,2010,10,227,306
250,2010,11,211,277
251,2010,12,221,283
252,2011,1,235,286
253,2011,2,246,323
254,2011,3,308,342
255,2011,4,328,314
256,2011,5,389,392
257,2011,6,297,344
258,2011,7,165,236
259,2011,8,134,191
260,2011,9,169,238
261,2011,10,210,307
262,2011,11,186,285
263,2011,12,185,294
264,2012,1,205,298
265,2012,2,233,346
266,2012,3,252,331
267,2012,4,281,342
268,2012,5,315,390
269,2012,6,217,326
270,2012,7,127,207
271,2012,8,111,169
272,2012,9,160,259
273,2012,10,185,328
274,2012,11,161,270
275,2012,12,175,300
276,2013,1,185,289
277,2013,2,201,325
278,2013,3,221,351
279,2013,4,247,368
280,2013,5,240,380
281,2013,6,185,313
282,2013,7,137,209
283,2013,8,136,177
284,2013,9,183,232
285,2013,10,210,362
286,2013,11,193,299
287,2013,12,194,284
288,2014,1,217,303
289,2014,2,226,338
290,2014,3,264,369
291,2014,4,269,353
292,2014,5,283,357
293,2014,6,215,293
294,2014,7,143,217
295,2014,8,146,198
296,2014,9,178,258
297,2014,10,205,337
298,2014,11,175,280
299,2014,12,182,277
300,2015,1,195,294
301,2015,2,214,313
302,2015,3,253,335
303,2015,4,301,325
304,2015,5,347,334
305,2015,6,279,299
306,2015,7,198,185
307,2015,8,178,194
308,2015,9,203,267
309,2015,10,207,328
310,2015,11,179,275
311,2015,12,189,288
312,2016,1,201,286
313,2016,2,239,302
314,2016,3,291,308
315,2016,4,332,295
316,2016,5,361,343
317,2016,6,256,251
318,2016,7,176,200
319,2016,8,164,189
320,2016,9,214,252
321,2016,10,232,275
322,2016,11,206,252
323,2016,12,214,242
324,2017,1,235,255
325,2017,2,256,272
326,2017,3,312,310
327,2017,4,345,314
328,2017,5,341,331
329,2017,6,242,287
330,2017,7,146,176
331,2017,8,146,187
332,2017,9,183,252
333,2017,10,192,305
334,2017,11,188,289
335,2017,12,186,268
