,year,month,Purchase amount,Purchase quantity
0,1990,1,202,464
1,1990,2,241,468
2,1990,3,221,416
3,1990,4,235,357
4,1990,5,254,366
5,1990,6,171,364
6,1990,7,164,298
7,1990,8,188,284
8,1990,9,307,481
9,1990,10,410,749
10,1990,11,354,718
11,1990,12,379,760
12,1991,1,247,416
13,1991,2,287,442
14,1991,3,294,404
15,1991,4,251,306
16,1991,5,259,426
17,1991,6,170,319
18,1991,7,188,270
19,1991,8,236,292
20,1991,9,344,467
21,1991,10,470,753
22,1991,11,382,715
23,1991,12,325,669
24,1992,1,181,438
25,1992,2,227,510
26,1992,3,214,466
27,1992,4,209,365
28,1992,5,220,408
29,1992,6,207,314
30,1992,7,179,335
31,1992,8,198,325
32,1992,9,330,477
33,1992,10,353,795
34,1992,11,283,811
35,1992,12,271,741
36,1993,1,192,456
37,1993,2,227,479
38,1993,3,239,411
39,1993,4,243,360
40,1993,5,220,418
41,1993,6,188,344
42,1993,7,214,292
43,1993,8,245,308
44,1993,9,361,510
45,1993,10,360,784
46,1993,11,230,737
47,1993,12,258,697
48,1994,1,199,423
49,1994,2,251,454
50,1994,3,222,399
51,1994,4,199,400
52,1994,5,184,403
53,1994,6,160,354
54,1994,7,144,303
55,1994,8,193,296
56,1994,9,280,453
57,1994,10,404,652
58,1994,11,341,658
59,1994,12,338,638
60,1995,1,226,413
61,1995,2,256,469
62,1995,3,232,416
63,1995,4,218,394
64,1995,5,212,370
65,1995,6,197,358
66,1995,7,172,315
67,1995,8,180,319
68,1995,9,305,526
69,1995,10,310,723
70,1995,11,261,719
71,1995,12,268,718
72,1996,1,189,449
73,1996,2,223,529
74,1996,3,197,450
75,1996,4,211,365
76,1996,5,210,411
77,1996,6,164,351
78,1996,7,167,280
79,1996,8,199,347
80,1996,9,267,560
81,1996,10,295,768
82,1996,11,230,701
83,1996,12,261,666
84,1997,1,174,477
85,1997,2,191,545
86,1997,3,169,470
87,1997,4,174,399
88,1997,5,183,382
89,1997,6,175,314
90,1997,7,152,284
91,1997,8,182,319
92,1997,9,287,487
93,1997,10,368,696
94,1997,11,256,677
95,1997,12,229,649
96,1998,1,184,431
97,1998,2,205,435
98,1998,3,219,356
99,1998,4,219,317
100,1998,5,222,349
101,1998,6,177,408
102,1998,7,136,310
103,1998,8,164,339
104,1998,9,274,480
105,1998,10,388,671
106,1998,11,348,616
107,1998,12,320,616
108,1999,1,211,436
109,1999,2,219,459
110,1999,3,201,409
111,1999,4,197,357
112,1999,5,187,396
113,1999,6,147,348
114,1999,7,142,338
115,1999,8,170,262
116,1999,9,245,412
117,1999,10,317,714
118,1999,11,206,647
119,1999,12,215,633
120,2000,1,147,443
121,2000,2,162,519
122,2000,3,174,422
123,2000,4,162,417
124,2000,5,137,390
125,2000,6,129,295
126,2000,7,131,298
127,2000,8,151,312
128,2000,9,221,485
129,2000,10,288,705
130,2000,11,224,671
131,2000,12,235,609
132,2001,1,184,430
133,2001,2,198,434
134,2001,3,178,400
135,2001,4,156,396
136,2001,5,152,381
137,2001,6,124,336
138,2001,7,112,281
139,2001,8,166,342
140,2001,9,246,502
141,2001,10,300,735
142,2001,11,198,641
143,2001,12,190,614
144,2002,1,141,453
145,2002,2,133,497
146,2002,3,120,432
147,2002,4,128,342
148,2002,5,160,320
149,2002,6,137,319
150,2002,7,126,267
151,2002,8,172,295
152,2002,9,257,507
153,2002,10,248,775
154,2002,11,247,585
155,2002,12,234,611
156,2003,1,168,398
157,2003,2,185,412
158,2003,3,183,345
159,2003,4,181,304
160,2003,5,181,358
161,2003,6,131,364
162,2003,7,126,327
163,2003,8,147,371
164,2003,9,212,431
165,2003,10,239,691
