,year,month,Purchase amount,Purchase quantity
0,1990,1,93,53
1,1990,2,114,63
2,1990,3,121,66
3,1990,4,107,55
4,1990,5,115,59
5,1990,6,103,55
6,1990,7,100,52
7,1990,8,105,55
8,1990,9,140,77
9,1990,10,143,82
10,1990,11,133,80
11,1990,12,217,128
12,1991,1,104,54
13,1991,2,121,61
14,1991,3,129,63
15,1991,4,114,52
16,1991,5,117,50
17,1991,6,122,50
18,1991,7,122,43
19,1991,8,140,49
20,1991,9,167,65
21,1991,10,192,72
22,1991,11,172,63
23,1991,12,284,101
24,1992,1,136,44
25,1992,2,171,55
26,1992,3,167,52
27,1992,4,154,46
28,1992,5,151,45
29,1992,6,158,50
30,1992,7,128,46
31,1992,8,146,59
32,1992,9,166,77
33,1992,10,160,84
34,1992,11,142,83
35,1992,12,210,127
36,1993,1,103,55
37,1993,2,124,70
38,1993,3,130,74
39,1993,4,120,63
40,1993,5,116,60
41,1993,6,116,57
42,1993,7,122,56
43,1993,8,127,52
44,1993,9,162,63
45,1993,10,172,72
46,1993,11,151,72
47,1993,12,260,123
48,1994,1,124,54
49,1994,2,151,64
50,1994,3,151,63
51,1994,4,136,58
52,1994,5,138,60
53,1994,6,131,57
54,1994,7,104,49
55,1994,8,116,56
56,1994,9,148,77
57,1994,10,153,84
58,1994,11,139,84
59,1994,12,199,123
60,1995,1,95,53
61,1995,2,112,61
62,1995,3,117,63
63,1995,4,113,59
64,1995,5,119,58
65,1995,6,109,54
66,1995,7,99,48
67,1995,8,99,49
68,1995,9,139,72
69,1995,10,133,72
70,1995,11,130,76
71,1995,12,219,124
72,1996,1,100,51
73,1996,2,128,64
74,1996,3,130,63
75,1996,4,122,59
76,1996,5,118,52
77,1996,6,118,55
78,1996,7,108,51
79,1996,8,110,56
80,1996,9,133,72
81,1996,10,137,83
82,1996,11,122,81
83,1996,12,184,116
84,1997,1,91,56
85,1997,2,111,69
86,1997,3,111,68
87,1997,4,107,60
88,1997,5,106,59
89,1997,6,98,54
90,1997,7,88,50
91,1997,8,92,52
92,1997,9,119,70
93,1997,10,121,77
94,1997,11,107,72
95,1997,12,173,115
96,1998,1,95,56
97,1998,2,105,62
98,1998,3,112,63
99,1998,4,98,50
100,1998,5,113,53
101,1998,6,103,47
102,1998,7,90,42
103,1998,8,98,47
104,1998,9,130,64
105,1998,10,151,75
106,1998,11,139,69
107,1998,12,217,98
108,1999,1,117,50
109,1999,2,121,53
110,1999,3,119,54
111,1999,4,115,51
112,1999,5,112,51
113,1999,6,104,52
114,1999,7,92,51
115,1999,8,92,52
116,1999,9,112,66
117,1999,10,121,76
118,1999,11,114,81
119,1999,12,159,108
120,2000,1,87,52
121,2000,2,101,62
122,2000,3,107,62
123,2000,4,91,50
124,2000,5,88,49
125,2000,6,85,50
126,2000,7,74,43
127,2000,8,77,46
128,2000,9,107,65
129,2000,10,110,72
130,2000,11,106,71
131,2000,12,166,106
132,2001,1,93,55
133,2001,2,101,60
134,2001,3,95,55
135,2001,4,84,49
136,2001,5,86,49
137,2001,6,77,45
138,2001,7,67,39
139,2001,8,79,47
140,2001,9,103,65
141,2001,10,109,70
142,2001,11,104,71
143,2001,12,159,105
144,2002,1,87,52
145,2002,2,91,56
146,2002,3,96,55
147,2002,4,92,51
148,2002,5,92,52
149,2002,6,81,43
150,2002,7,77,44
151,2002,8,87,45
152,2002,9,106,56
153,2002,10,116,69
154,2002,11,114,65
155,2002,12,179,108
156,2003,1,93,50
157,2003,2,102,53
158,2003,3,112,58
159,2003,4,101,51
160,2003,5,97,44
161,2003,6,87,42
162,2003,7,88,45
163,2003,8,83,44
164,2003,9,92,42
165,2003,10,119,63
166,2003,11,109,63
167,2003,12,173,99
168,2004,1,98,55
169,2004,2,110,57
170,2004,3,109,63
171,2004,4,90,46
172,2004,5,90,45
173,2004,6,82,41
174,2004,7,74,42
175,2004,8,76,40
176,2004,9,106,64
177,2004,10,126,82
178,2004,11,110,72
179,2004,12,153,98
180,2005,1,93,52
181,2005,2,97,59
182,2005,3,99,55
183,2005,4,85,49
184,2005,5,86,50
185,2005,6,70,41
186,2005,7,66,40
187,2005,8,70,43
