,year,month,Purchase amount,Purchase quantity
0,1990,1,135,335
1,1990,2,142,270
2,1990,3,106,153
3,1990,4,86,95
4,1990,5,74,78
5,1990,6,55,87
6,1990,7,54,60
7,1990,8,66,68
8,1990,9,153,163
9,1990,10,289,410
10,1990,11,293,561
11,1990,12,322,664
12,1991,1,203,313
13,1991,2,215,267
14,1991,3,164,134
15,1991,4,98,73
16,1991,5,96,113
17,1991,6,62,76
18,1991,7,60,54
19,1991,8,83,80
20,1991,9,155,185
21,1991,10,306,370
22,1991,11,328,492
23,1991,12,314,576
24,1992,1,144,304
25,1992,2,143,314
26,1992,3,102,200
27,1992,4,78,112
28,1992,5,67,105
29,1992,6,58,67
30,1992,7,52,68
31,1992,8,65,78
32,1992,9,138,145
33,1992,10,241,432
34,1992,11,216,618
35,1992,12,224,636
36,1993,1,148,317
37,1993,2,162,281
38,1993,3,135,157
39,1993,4,101,95
40,1993,5,78,101
41,1993,6,65,81
42,1993,7,76,74
43,1993,8,94,75
44,1993,9,168,153
45,1993,10,258,439
46,1993,11,187,572
47,1993,12,206,622
48,1994,1,142,319
49,1994,2,165,277
50,1994,3,125,173
51,1994,4,73,110
52,1994,5,55,85
53,1994,6,52,68
54,1994,7,43,59
55,1994,8,66,62
56,1994,9,144,166
57,1994,10,278,363
58,1994,11,290,484
59,1994,12,323,579
60,1995,1,196,291
61,1995,2,186,267
62,1995,3,138,175
63,1995,4,94,113
64,1995,5,78,96
65,1995,6,71,86
66,1995,7,54,65
67,1995,8,59,59
68,1995,9,155,159
69,1995,10,222,410
70,1995,11,218,583
71,1995,12,236,609
72,1996,1,141,326
73,1996,2,144,318
74,1996,3,101,203
75,1996,4,80,115
76,1996,5,66,99
77,1996,6,58,91
78,1996,7,55,74
79,1996,8,76,85
80,1996,9,148,212
81,1996,10,215,435
82,1996,11,202,560
83,1996,12,210,571
84,1997,1,135,328
85,1997,2,134,283
86,1997,3,92,159
87,1997,4,78,110
88,1997,5,66,94
89,1997,6,62,66
90,1997,7,56,76
91,1997,8,67,86
92,1997,9,143,208
93,1997,10,254,409
94,1997,11,199,554
95,1997,12,186,569
96,1998,1,131,313
97,1998,2,132,269
98,1998,3,110,130
99,1998,4,79,85
100,1998,5,72,70
101,1998,6,65,83
102,1998,7,46,66
103,1998,8,57,79
104,1998,9,129,150
105,1998,10,265,309
106,1998,11,345,427
107,1998,12,313,478
108,1999,1,183,303
109,1999,2,158,278
110,1999,3,104,167
111,1999,4,75,111
112,1999,5,56,91
113,1999,6,49,88
114,1999,7,44,66
115,1999,8,60,54
116,1999,9,119,144
117,1999,10,236,402
118,1999,11,212,533
119,1999,12,170,549
120,2000,1,94,292
121,2000,2,105,328
122,2000,3,75,184
123,2000,4,55,122
124,2000,5,43,96
125,2000,6,40,72
126,2000,7,35,56
127,2000,8,48,69
128,2000,9,108,153
129,2000,10,199,387
130,2000,11,172,497
131,2000,12,180,503
132,2001,1,145,311
133,2001,2,133,255
134,2001,3,92,130
135,2001,4,60,82
136,2001,5,53,77
137,2001,6,39,63
138,2001,7,33,50
139,2001,8,51,73
140,2001,9,115,183
141,2001,10,195,373
142,2001,11,157,472
143,2001,12,143,471
144,2002,1,95,309
145,2002,2,81,277
146,2002,3,54,151
147,2002,4,42,84
148,2002,5,49,75
149,2002,6,45,71
150,2002,7,37,57
151,2002,8,50,61
152,2002,9,117,176
153,2002,10,171,416
154,2002,11,199,500
155,2002,12,203,529
156,2003,1,126,321
157,2003,2,115,259
158,2003,3,92,143
159,2003,4,70,82
160,2003,5,57,92
161,2003,6,42,73
162,2003,7,45,68
163,2003,8,49,76
164,2003,9,97,128
165,2003,10,180,368
166,2003,11,135,467
167,2003,12,149,513
168,2004,1,122,315
169,2004,2,115,247
170,2004,3,91,130
171,2004,4,56,87
172,2004,5,51,98
173,2004,6,43,68
174,2004,7,33,54
175,2004,8,45,65
176,2004,9,106,175
177,2004,10,230,349
178,2004,11,240,381
179,2004,12,189,453
180,2005,1,139,322
181,2005,2,132,297
182,2005,3,100,173
183,2005,4,57,104
184,2005,5,48,97
185,2005,6,35,68
186,2005,7,38,70
187,2005,8,39,69
188,2005,9,91,173
189,2005,10,164,381
190,2005,11,169,438
191,2005,12,183,528
192,2006,1,138,321
193,2006,2,120,286
194,2006,3,80,178
195,2006,4,64,100
196,2006,5,54,116
197,2006,6,44,65
198,2006,7,39,61
199,2006,8,44,48
200,2006,9,105,151
201,2006,10,171,387
202,2006,11,139,455
203,2006,12,135,508
204,2007,1,97,308
205,2007,2,77,254
206,2007,3,68,178
207,2007,4,62,117
208,2007,5,51,108
209,2007,6,39,85
210,2007,7,43,79
211,2007,8,44,63
212,2007,9,90,152
213,2007,10,177,369
214,2007,11,177,504
215,2007,12,171,519
216,2008,1,113,343
217,2008,2,119,330
218,2008,3,89,149
219,2008,4,64,97
220,2008,5,56,98
221,2008,6,47,92
222,2008,7,34,57
223,2008,8,45,78
224,2008,9,101,196
225,2008,10,182,377
226,2008,11,182,495
227,2008,12,176,517
228,2009,1,131,341
229,2009,2,112,287
230,2009,3,95,174
231,2009,4,71,95
232,2009,5,55,92
233,2009,6,42,75
234,2009,7,34,67
235,2009,8,46,71
236,2009,9,97,154
237,2009,10,167,448
238,2009,11,159,515
239,2009,12,140,517
240,2010,1,108,357
241,2010,2,107,312
242,2010,3,88,199
243,2010,4,83,113
244,2010,5,63,92
245,2010,6,41,75
246,2010,7,37,65
247,2010,8,40,61
248,2010,9,98,147
249,2010,10,203,363
250,2010,11,217,479
251,2010,12,180,454
252,2011,1,131,350
253,2011,2,124,296
254,2011,3,103,189
255,2011,4,72,125
256,2011,5,49,112
257,2011,6,40,79
258,2011,7,34,68
259,2011,8,37,72
260,2011,9,97,148
261,2011,10,204,321
262,2011,11,164,491
263,2011,12,157,466
264,2012,1,138,355
265,2012,2,144,317
266,2012,3,105,163
267,2012,4,72,104
268,2012,5,52,89
269,2012,6,43,88
270,2012,7,33,69
271,2012,8,31,61
272,2012,9,71,161
273,2012,10,146,381
274,2012,11,162,490
275,2012,12,172,515
276,2013,1,146,340
277,2013,2,124,300
278,2013,3,89,193
279,2013,4,63,131
280,2013,5,46,98
281,2013,6,36,80
282,2013,7,38,63
283,2013,8,40,56
284,2013,9,107,162
285,2013,10,188,381
286,2013,11,234,503
287,2013,12,227,525
288,2014,1,162,365
289,2014,2,145,325
290,2014,3,102,216
291,2014,4,66,134
292,2014,5,50,111
293,2014,6,41,86
294,2014,7,37,68
295,2014,8,50,69
296,2014,9,118,152
297,2014,10,190,396
298,2014,11,153,499
299,2014,12,155,536
300,2015,1,125,375
301,2015,2,121,345
302,2015,3,93,211
303,2015,4,74,105
304,2015,5,60,65
305,2015,6,48,65
306,2015,7,45,75
307,2015,8,51,61
308,2015,9,138,185
309,2015,10,220,389
310,2015,11,175,470
311,2015,12,147,499
312,2016,1,127,379
313,2016,2,126,325
314,2016,3,100,179
315,2016,4,71,101
316,2016,5,55,81
317,2016,6,48,77
318,2016,7,38,77
319,2016,8,40,81
320,2016,9,106,184
321,2016,10,233,319
322,2016,11,281,422
323,2016,12,230,451
324,2017,1,178,336
325,2017,2,154,297
326,2017,3,114,181
327,2017,4,75,89
328,2017,5,58,87
329,2017,6,45,84
330,2017,7,36,66
331,2017,8,43,76
332,2017,9,113,176
333,2017,10,190,448
334,2017,11,222,463
335,2017,12,284,490
