,year,month,Purchase amount,Purchase quantity
0,1990,1,322,186
1,1990,2,367,226
2,1990,3,293,196
3,1990,4,290,162
4,1990,5,294,162
5,1990,6,223,116
6,1990,7,178,65
7,1990,8,155,49
8,1990,9,255,77
9,1990,10,368,130
10,1990,11,425,236
11,1990,12,390,222
12,1991,1,398,175
13,1991,2,431,211
14,1991,3,394,233
15,1991,4,314,170
16,1991,5,303,159
17,1991,6,216,96
18,1991,7,184,60
19,1991,8,190,60
20,1991,9,248,77
21,1991,10,339,100
22,1991,11,421,157
23,1991,12,396,208
24,1992,1,335,200
25,1992,2,341,229
26,1992,3,290,226
27,1992,4,294,146
28,1992,5,297,154
29,1992,6,255,113
30,1992,7,218,87
31,1992,8,173,55
32,1992,9,287,94
33,1992,10,382,180
34,1992,11,336,215
35,1992,12,348,211
36,1993,1,358,190
37,1993,2,389,233
38,1993,3,353,237
39,1993,4,322,200
40,1993,5,282,173
41,1993,6,250,116
42,1993,7,243,80
43,1993,8,221,68
44,1993,9,281,85
45,1993,10,398,196
46,1993,11,297,217
47,1993,12,342,176
48,1994,1,365,161
49,1994,2,405,192
50,1994,3,339,213
51,1994,4,264,194
52,1994,5,228,136
53,1994,6,195,94
54,1994,7,151,60
55,1994,8,124,37
56,1994,9,218,68
57,1994,10,356,143
58,1994,11,351,217
59,1994,12,329,199
60,1995,1,308,167
61,1995,2,328,204
62,1995,3,270,217
63,1995,4,236,158
64,1995,5,224,113
65,1995,6,225,101
66,1995,7,166,64
67,1995,8,140,46
68,1995,9,227,71
69,1995,10,331,181
70,1995,11,259,176
71,1995,12,304,163
72,1996,1,313,168
73,1996,2,317,184
74,1996,3,285,221
75,1996,4,248,151
76,1996,5,248,156
77,1996,6,195,99
78,1996,7,167,60
79,1996,8,164,56
80,1996,9,233,88
81,1996,10,305,160
82,1996,11,273,186
83,1996,12,320,181
84,1997,1,284,178
85,1997,2,283,196
86,1997,3,234,193
87,1997,4,234,135
88,1997,5,232,116
89,1997,6,219,93
90,1997,7,173,65
91,1997,8,154,49
92,1997,9,234,81
93,1997,10,350,168
94,1997,11,272,190
95,1997,12,281,174
96,1998,1,274,115
97,1998,2,344,147
98,1998,3,329,165
99,1998,4,296,154
100,1998,5,275,123
101,1998,6,239,101
102,1998,7,180,74
103,1998,8,157,54
104,1998,9,238,79
105,1998,10,297,93
106,1998,11,364,147
107,1998,12,379,199
108,1999,1,301,170
109,1999,2,292,199
110,1999,3,229,193
111,1999,4,223,132
112,1999,5,219,121
113,1999,6,183,92
114,1999,7,162,64
115,1999,8,127,41
116,1999,9,196,65
117,1999,10,297,131
118,1999,11,290,193
119,1999,12,261,175
120,2000,1,257,191
121,2000,2,246,178
122,2000,3,252,178
123,2000,4,212,153
124,2000,5,187,122
125,2000,6,167,82
126,2000,7,144,61
127,2000,8,126,47
128,2000,9,175,62
129,2000,10,283,147
130,2000,11,254,151
131,2000,12,290,154
