,year,month,Purchase amount,Purchase quantity
0,1990,1,109,106
1,1990,2,157,148
2,1990,3,145,140
3,1990,4,107,103
4,1990,5,88,76
5,1990,6,90,70
6,1990,7,117,87
7,1990,8,138,125
8,1990,9,164,181
9,1990,10,150,175
10,1990,11,114,142
11,1990,12,127,139
12,1991,1,110,110
13,1991,2,153,151
14,1991,3,147,142
15,1991,4,105,101
16,1991,5,82,70
17,1991,6,75,49
18,1991,7,120,68
19,1991,8,151,100
20,1991,9,162,144
21,1991,10,178,164
22,1991,11,131,123
23,1991,12,142,116
24,1992,1,118,86
25,1992,2,170,114
26,1992,3,143,92
27,1992,4,108,67
28,1992,5,85,48
29,1992,6,98,49
30,1992,7,118,66
31,1992,8,145,93
32,1992,9,193,162
33,1992,10,179,191
34,1992,11,127,136
35,1992,12,138,130
36,1993,1,120,101
37,1993,2,169,152
38,1993,3,164,139
39,1993,4,116,99
40,1993,5,89,67
41,1993,6,86,54
42,1993,7,99,51
43,1993,8,130,73
44,1993,9,170,124
45,1993,10,160,150
46,1993,11,122,114
47,1993,12,148,122
48,1994,1,130,97
49,1994,2,172,127
50,1994,3,156,110
51,1994,4,108,74
52,1994,5,87,55
53,1994,6,95,57
54,1994,7,105,65
55,1994,8,157,118
56,1994,9,160,154
57,1994,10,140,160
58,1994,11,121,141
59,1994,12,115,129
60,1995,1,97,100
61,1995,2,141,151
62,1995,3,125,135
63,1995,4,95,98
64,1995,5,74,68
65,1995,6,81,65
66,1995,7,95,57
67,1995,8,124,97
68,1995,9,167,158
69,1995,10,131,163
70,1995,11,101,129
71,1995,12,121,130
72,1996,1,106,106
73,1996,2,144,146
74,1996,3,135,128
75,1996,4,106,94
76,1996,5,74,56
77,1996,6,77,47
78,1996,7,86,44
79,1996,8,138,91
80,1996,9,157,147
81,1996,10,149,181
82,1996,11,110,122
83,1996,12,137,136
84,1997,1,110,104
85,1997,2,162,148
86,1997,3,153,133
87,1997,4,110,89
88,1997,5,90,68
89,1997,6,83,57
90,1997,7,106,70
91,1997,8,128,100
92,1997,9,155,154
93,1997,10,131,153
94,1997,11,101,118
95,1997,12,125,122
96,1998,1,111,104
97,1998,2,135,128
98,1998,3,129,119
99,1998,4,93,84
100,1998,5,83,69
101,1998,6,76,54
102,1998,7,94,61
103,1998,8,128,106
104,1998,9,140,136
105,1998,10,145,156
106,1998,11,122,117
107,1998,12,135,124
108,1999,1,103,95
109,1999,2,123,113
110,1999,3,106,97
111,1999,4,89,77
112,1999,5,68,55
113,1999,6,71,53
114,1999,7,89,58
115,1999,8,117,88
116,1999,9,144,139
117,1999,10,129,141
118,1999,11,100,111
119,1999,12,111,118
120,2000,1,96,96
121,2000,2,134,136
122,2000,3,123,120
123,2000,4,93,87
124,2000,5,69,59
125,2000,6,62,42
126,2000,7,76,49
127,2000,8,116,96
128,2000,9,141,147
129,2000,10,118,145
130,2000,11,103,137
131,2000,12,112,127
132,2001,1,97,104
133,2001,2,117,129
134,2001,3,100,108
135,2001,4,77,86
136,2001,5,62,65
137,2001,6,58,50
138,2001,7,74,61
139,2001,8,105,95
140,2001,9,127,147
141,2001,10,113,144
142,2001,11,93,117
143,2001,12,106,122
144,2002,1,86,89
145,2002,2,111,115
146,2002,3,101,98
147,2002,4,72,69
148,2002,5,62,58
149,2002,6,60,45
150,2002,7,80,57
151,2002,8,106,83
152,2002,9,133,157
153,2002,10,119,150
154,2002,11,112,129
155,2002,12,105,106
156,2003,1,95,89
157,2003,2,117,113
158,2003,3,103,89
159,2003,4,76,72
160,2003,5,62,49
161,2003,6,57,40
162,2003,7,73,43
163,2003,8,97,70
164,2003,9,106,99
165,2003,10,111,120
166,2003,11,87,95
167,2003,12,98,99
168,2004,1,85,88
169,2004,2,107,104
170,2004,3,99,91
171,2004,4,71,77
172,2004,5,67,55
173,2004,6,54,42
174,2004,7,66,45
175,2004,8,72,62
176,2004,9,109,121
177,2004,10,105,115
178,2004,11,80,104
179,2004,12,89,110
180,2005,1,80,74
181,2005,2,97,107
182,2005,3,90,100
183,2005,4,67,69
184,2005,5,60,65
185,2005,6,44,37
186,2005,7,63,50
187,2005,8,83,71
188,2005,9,102,108
189,2005,10,103,132
190,2005,11,78,88
191,2005,12,103,126
192,2006,1,82,83
193,2006,2,92,104
194,2006,3,87,96
195,2006,4,66,67
196,2006,5,51,47
197,2006,6,41,31
198,2006,7,52,39
199,2006,8,79,50
200,2006,9,109,107
201,2006,10,111,115
202,2006,11,85,85
203,2006,12,98,105
204,2007,1,85,82
205,2007,2,89,84
206,2007,3,84,81
207,2007,4,71,62
208,2007,5,52,40
209,2007,6,46,33
210,2007,7,59,40
211,2007,8,82,64
212,2007,9,116,121
213,2007,10,123,130
214,2007,11,95,108
215,2007,12,100,106
216,2008,1,84,86
217,2008,2,116,115
218,2008,3,93,92
