,year,month,Purchase amount,Purchase quantity
0,1990,1,190,346
1,1990,2,262,403
2,1990,3,279,474
3,1990,4,340,484
4,1990,5,330,492
5,1990,6,233,430
6,1990,7,249,411
7,1990,8,312,456
8,1990,9,301,479
9,1990,10,340,462
10,1990,11,308,462
11,1990,12,253,425
12,1991,1,273,315
13,1991,2,345,318
14,1991,3,440,377
15,1991,4,416,427
16,1991,5,385,529
17,1991,6,225,462
18,1991,7,292,436
19,1991,8,318,496
20,1991,9,289,465
21,1991,10,398,476
22,1991,11,345,377
23,1991,12,296,371
24,1992,1,203,306
25,1992,2,245,379
26,1992,3,256,444
27,1992,4,291,485
28,1992,5,266,537
29,1992,6,232,426
30,1992,7,220,417
31,1992,8,237,458
32,1992,9,278,449
33,1992,10,225,519
34,1992,11,162,459
35,1992,12,161,416
36,1993,1,171,363
37,1993,2,204,395
38,1993,3,277,433
39,1993,4,334,449
40,1993,5,347,465
41,1993,6,326,444
42,1993,7,374,365
43,1993,8,482,371
44,1993,9,483,472
45,1993,10,316,489
46,1993,11,172,444
47,1993,12,184,406
48,1994,1,227,332
49,1994,2,290,373
50,1994,3,310,419
51,1994,4,265,467
52,1994,5,240,517
53,1994,6,199,454
54,1994,7,194,401
55,1994,8,275,458
56,1994,9,274,452
57,1994,10,332,398
58,1994,11,316,411
59,1994,12,263,372
60,1995,1,240,322
61,1995,2,264,356
62,1995,3,280,438
63,1995,4,292,447
64,1995,5,338,486
65,1995,6,281,461
66,1995,7,255,419
67,1995,8,268,434
68,1995,9,249,524
69,1995,10,187,473
70,1995,11,151,416
71,1995,12,180,374
72,1996,1,202,367
73,1996,2,213,424
74,1996,3,220,487
75,1996,4,271,442
76,1996,5,278,552
77,1996,6,207,451
78,1996,7,231,413
79,1996,8,229,475
80,1996,9,214,480
81,1996,10,197,474
82,1996,11,163,459
83,1996,12,166,410
84,1997,1,152,358
85,1997,2,174,410
86,1997,3,202,446
87,1997,4,264,470
88,1997,5,290,496
89,1997,6,271,414
90,1997,7,246,429
91,1997,8,251,472
92,1997,9,260,467
93,1997,10,263,465
94,1997,11,182,436
95,1997,12,153,417
96,1998,1,171,396
97,1998,2,203,400
98,1998,3,264,444
99,1998,4,327,425
100,1998,5,403,437
101,1998,6,271,499
102,1998,7,198,435
103,1998,8,201,459
104,1998,9,262,528
105,1998,10,310,473
106,1998,11,298,302
107,1998,12,301,327
108,1999,1,239,285
109,1999,2,246,351
110,1999,3,254,449
111,1999,4,275,493
112,1999,5,232,533
113,1999,6,158,439
114,1999,7,180,404
115,1999,8,270,388
116,1999,9,273,425
117,1999,10,259,476
118,1999,11,166,438
119,1999,12,137,368
120,2000,1,145,368
121,2000,2,155,405
122,2000,3,212,427
123,2000,4,226,453
124,2000,5,198,518
125,2000,6,155,458
126,2000,7,175,392
127,2000,8,186,475
128,2000,9,192,503
129,2000,10,190,499
130,2000,11,152,408
131,2000,12,181,355
132,2001,1,207,322
133,2001,2,245,378
134,2001,3,242,450
135,2001,4,239,452
136,2001,5,215,528
137,2001,6,156,431
138,2001,7,159,369
139,2001,8,194,467
140,2001,9,189,482
141,2001,10,189,446
142,2001,11,133,399
143,2001,12,131,349
144,2002,1,147,375
145,2002,2,133,406
146,2002,3,147,450
147,2002,4,187,498
148,2002,5,209,469
149,2002,6,199,403
150,2002,7,174,397
151,2002,8,205,437
152,2002,9,195,465
153,2002,10,177,477
154,2002,11,170,364
155,2002,12,193,360
156,2003,1,187,330
157,2003,2,210,390
158,2003,3,229,453
159,2003,4,268,415
160,2003,5,268,467
161,2003,6,165,439
