,year,month,Purchase amount,Purchase quantity
0,1990,1,81,131
1,1990,2,87,143
2,1990,3,94,153
3,1990,4,90,148
4,1990,5,91,147
5,1990,6,79,130
6,1990,7,78,126
7,1990,8,80,129
8,1990,9,88,144
9,1990,10,96,155
10,1990,11,86,138
11,1990,12,89,134
12,1991,1,87,132
13,1991,2,101,151
14,1991,3,114,167
15,1991,4,105,152
16,1991,5,102,148
17,1991,6,93,133
18,1991,7,95,136
19,1991,8,96,136
20,1991,9,102,144
21,1991,10,118,168
22,1991,11,107,152
23,1991,12,97,137
24,1992,1,90,125
25,1992,2,100,141
26,1992,3,106,148
27,1992,4,105,147
28,1992,5,101,141
29,1992,6,96,133
30,1992,7,96,133
31,1992,8,98,132
32,1992,9,105,144
33,1992,10,104,147
34,1992,11,94,131
35,1992,12,95,129
36,1993,1,90,126
37,1993,2,99,139
38,1993,3,107,152
39,1993,4,103,146
40,1993,5,102,146
41,1993,6,100,142
42,1993,7,112,157
43,1993,8,115,161
44,1993,9,120,171
45,1993,10,107,153
46,1993,11,90,131
47,1993,12,98,135
48,1994,1,98,137
49,1994,2,106,150
50,1994,3,113,161
51,1994,4,103,150
52,1994,5,105,152
53,1994,6,95,139
54,1994,7,92,131
55,1994,8,100,139
56,1994,9,108,153
57,1994,10,111,161
58,1994,11,100,145
59,1994,12,98,141
60,1995,1,92,133
61,1995,2,99,144
62,1995,3,105,154
63,1995,4,103,152
64,1995,5,106,156
65,1995,6,100,147
66,1995,7,102,150
67,1995,8,96,137
68,1995,9,105,151
69,1995,10,99,145
70,1995,11,87,130
71,1995,12,95,141
72,1996,1,93,137
73,1996,2,102,149
74,1996,3,105,158
75,1996,4,101,156
76,1996,5,100,154
77,1996,6,95,144
78,1996,7,95,145
79,1996,8,92,138
80,1996,9,96,145
81,1996,10,95,144
82,1996,11,85,130
83,1996,12,91,134
84,1997,1,86,130
85,1997,2,90,136
86,1997,3,96,146
87,1997,4,98,148
88,1997,5,100,149
89,1997,6,95,143
90,1997,7,93,136
91,1997,8,94,138
92,1997,9,98,143
93,1997,10,96,144
94,1997,11,84,127
95,1997,12,87,129
96,1998,1,95,141
97,1998,2,94,141
98,1998,3,105,157
99,1998,4,101,153
100,1998,5,107,162
101,1998,6,95,143
102,1998,7,87,131
103,1998,8,91,138
104,1998,9,102,154
105,1998,10,116,173
106,1998,11,111,169
107,1998,12,102,155
108,1999,1,98,148
109,1999,2,96,148
110,1999,3,100,155
111,1999,4,100,157
112,1999,5,99,154
113,1999,6,87,137
114,1999,7,85,132
115,1999,8,87,132
116,1999,9,93,142
117,1999,10,94,146
118,1999,11,84,131
119,1999,12,81,124
120,2000,1,79,123
121,2000,2,88,138
122,2000,3,95,154
123,2000,4,85,138
124,2000,5,84,137
125,2000,6,81,133
126,2000,7,82,131
127,2000,8,83,134
128,2000,9,90,144
129,2000,10,92,148
130,2000,11,83,136
131,2000,12,89,145
132,2001,1,90,147
133,2001,2,91,150
134,2001,3,93,154
135,2001,4,84,143
136,2001,5,84,144
137,2001,6,79,136
138,2001,7,77,126
139,2001,8,80,132
140,2001,9,85,141
141,2001,10,82,138
142,2001,11,75,126
143,2001,12,78,126
144,2002,1,77,124
145,2002,2,81,133
146,2002,3,87,145
147,2002,4,86,143
148,2002,5,88,152
149,2002,6,82,140
150,2002,7,80,136
151,2002,8,82,136
152,2002,9,96,158
153,2002,10,89,156
154,2002,11,88,150
155,2002,12,88,148
156,2003,1,86,143
157,2003,2,86,152
158,2003,3,95,159
159,2003,4,91,157
160,2003,5,87,154
161,2003,6,80,137
162,2003,7,81,138
163,2003,8,81,140
164,2003,9,89,145
165,2003,10,81,142
166,2003,11,75,135
167,2003,12,77,129
168,2004,1,79,136
169,2004,2,81,143
170,2004,3,90,156
171,2004,4,82,148
172,2004,5,81,144
173,2004,6,79,144
174,2004,7,75,129
175,2004,8,77,134
176,2004,9,84,148
177,2004,10,101,175
178,2004,11,96,176
179,2004,12,83,145
180,2005,1,82,142
181,2005,2,84,160
182,2005,3,88,158
183,2005,4,81,155
184,2005,5,82,153
185,2005,6,72,134
186,2005,7,74,137
187,2005,8,71,130
188,2005,9,77,145
189,2005,10,81,156
190,2005,11,72,135
191,2005,12,76,138
192,2006,1,83,161
193,2006,2,80,155
194,2006,3,83,156
195,2006,4,81,154
