,year,month,Purchase amount,Purchase quantity
0,1990,1,249,141
1,1990,2,270,149
2,1990,3,231,148
3,1990,4,209,104
4,1990,5,234,98
5,1990,6,213,90
6,1990,7,216,94
7,1990,8,238,93
8,1990,9,282,114
9,1990,10,371,157
10,1990,11,332,178
11,1990,12,403,253
12,1991,1,275,138
13,1991,2,284,153
14,1991,3,273,138
15,1991,4,223,107
16,1991,5,230,99
17,1991,6,219,92
18,1991,7,251,95
19,1991,8,270,97
20,1991,9,292,116
21,1991,10,410,153
22,1991,11,384,163
23,1991,12,423,209
24,1992,1,304,140
25,1992,2,327,149
26,1992,3,307,131
27,1992,4,256,104
28,1992,5,269,102
29,1992,6,247,92
30,1992,7,239,93
31,1992,8,250,95
32,1992,9,301,119
33,1992,10,339,174
34,1992,11,287,206
35,1992,12,323,245
36,1993,1,247,157
37,1993,2,254,173
38,1993,3,241,151
39,1993,4,212,120
40,1993,5,242,114
41,1993,6,255,97
42,1993,7,309,98
43,1993,8,312,95
44,1993,9,346,126
45,1993,10,365,166
46,1993,11,341,176
47,1993,12,493,227
48,1994,1,397,134
49,1994,2,437,118
50,1994,3,386,91
51,1994,4,271,85
52,1994,5,261,92
53,1994,6,242,91
54,1994,7,240,96
55,1994,8,283,94
56,1994,9,318,112
57,1994,10,403,155
58,1994,11,359,179
59,1994,12,403,234
60,1995,1,289,144
61,1995,2,291,160
62,1995,3,252,145
63,1995,4,200,118
64,1995,5,228,106
65,1995,6,216,101
66,1995,7,232,94
67,1995,8,257,99
68,1995,9,303,127
69,1995,10,300,165
70,1995,11,294,194
71,1995,12,345,241
72,1996,1,272,152
73,1996,2,286,159
74,1996,3,247,142
75,1996,4,196,112
76,1996,5,212,106
77,1996,6,222,97
78,1996,7,261,96
79,1996,8,278,107
80,1996,9,284,137
81,1996,10,304,183
82,1996,11,281,204
83,1996,12,334,236
84,1997,1,260,157
85,1997,2,259,167
86,1997,3,226,149
87,1997,4,199,113
88,1997,5,245,107
89,1997,6,270,102
90,1997,7,265,102
91,1997,8,278,105
92,1997,9,311,134
93,1997,10,369,178
94,1997,11,318,192
95,1997,12,387,254
96,1998,1,312,157
97,1998,2,314,162
98,1998,3,287,142
99,1998,4,241,110
100,1998,5,297,104
101,1998,6,278,102
102,1998,7,275,107
103,1998,8,273,116
104,1998,9,303,139
105,1998,10,417,165
106,1998,11,433,179
107,1998,12,510,245
108,1999,1,366,151
109,1999,2,361,150
110,1999,3,319,132
111,1999,4,260,114
112,1999,5,259,111
113,1999,6,230,102
114,1999,7,246,104
115,1999,8,263,110
116,1999,9,274,125
117,1999,10,359,176
118,1999,11,299,191
119,1999,12,329,215
120,2000,1,262,151
121,2000,2,258,172
122,2000,3,240,148
123,2000,4,190,119
124,2000,5,197,103
125,2000,6,212,99
