,year,month,Purchase amount,Purchase quantity
0,1990,1,171,192
1,1990,2,199,215
2,1990,3,201,223
3,1990,4,250,204
4,1990,5,307,217
5,1990,6,285,200
6,1990,7,214,190
7,1990,8,206,187
8,1990,9,263,216
9,1990,10,323,243
10,1990,11,308,239
11,1990,12,333,299
12,1991,1,228,201
13,1991,2,244,218
14,1991,3,287,213
15,1991,4,328,200
16,1991,5,369,215
17,1991,6,265,213
18,1991,7,214,186
19,1991,8,225,198
20,1991,9,252,228
21,1991,10,290,261
22,1991,11,271,241
23,1991,12,313,268
24,1992,1,216,197
25,1992,2,226,224
26,1992,3,223,228
27,1992,4,229,214
28,1992,5,250,239
29,1992,6,210,229
30,1992,7,181,189
31,1992,8,224,186
32,1992,9,285,217
33,1992,10,321,262
34,1992,11,245,258
35,1992,12,273,302
36,1993,1,184,211
37,1993,2,193,236
38,1993,3,210,248
39,1993,4,231,235
40,1993,5,250,250
41,1993,6,229,228
42,1993,7,259,204
43,1993,8,306,201
44,1993,9,269,254
45,1993,10,239,259
46,1993,11,220,267
47,1993,12,260,307
48,1994,1,191,224
49,1994,2,204,242
50,1994,3,223,244
51,1994,4,254,235
52,1994,5,278,255
53,1994,6,256,227
54,1994,7,226,194
55,1994,8,251,194
56,1994,9,279,234
57,1994,10,316,254
58,1994,11,309,245
59,1994,12,353,288
60,1995,1,254,207
61,1995,2,276,223
62,1995,3,298,222
63,1995,4,316,219
64,1995,5,337,231
65,1995,6,285,236
66,1995,7,214,202
67,1995,8,201,196
68,1995,9,264,233
69,1995,10,251,263
70,1995,11,237,258
71,1995,12,271,303
72,1996,1,188,215
73,1996,2,204,237
74,1996,3,223,237
75,1996,4,254,225
76,1996,5,287,243
77,1996,6,248,240
78,1996,7,231,197
79,1996,8,260,207
80,1996,9,269,251
81,1996,10,239,277
82,1996,11,218,274
83,1996,12,250,301
84,1997,1,176,227
85,1997,2,178,246
86,1997,3,175,246
87,1997,4,199,229
88,1997,5,223,248
89,1997,6,209,226
90,1997,7,206,196
91,1997,8,214,203
92,1997,9,235,238
93,1997,10,245,279
94,1997,11,210,264
95,1997,12,237,300
96,1998,1,195,246
97,1998,2,189,252
98,1998,3,199,248
99,1998,4,218,227
100,1998,5,296,209
101,1998,6,332,217
102,1998,7,241,197
103,1998,8,213,204
104,1998,9,254,222
105,1998,10,325,238
106,1998,11,330,242
107,1998,12,311,286
108,1999,1,218,217
109,1999,2,211,222
110,1999,3,231,214
111,1999,4,268,220
112,1999,5,272,222
113,1999,6,231,228
114,1999,7,186,191
115,1999,8,211,176
116,1999,9,260,222
117,1999,10,240,253
118,1999,11,218,251
119,1999,12,230,282
120,2000,1,167,208
121,2000,2,184,238
122,2000,3,199,228
123,2000,4,212,209
124,2000,5,213,232
125,2000,6,182,225
126,2000,7,163,187
127,2000,8,181,181
128,2000,9,210,237
129,2000,10,218,254
130,2000,11,204,242
131,2000,12,238,276
132,2001,1,188,225
133,2001,2,190,230
134,2001,3,186,231
135,2001,4,193,209
136,2001,5,210,231
137,2001,6,177,212
138,2001,7,153,171
139,2001,8,195,193
140,2001,9,197,235
141,2001,10,201,253
142,2001,11,188,250
143,2001,12,209,275
144,2002,1,153,210
145,2002,2,146,226
146,2002,3,149,231
147,2002,4,181,215
148,2002,5,193,244
149,2002,6,170,200
150,2002,7,161,183
151,2002,8,178,180
152,2002,9,220,225
153,2002,10,221,274
154,2002,11,211,243
155,2002,12,235,274
156,2003,1,181,216
157,2003,2,183,218
158,2003,3,201,211
159,2003,4,218,202
160,2003,5,241,211
161,2003,6,216,202
162,2003,7,181,198
163,2003,8,173,203
164,2003,9,180,212
165,2003,10,180,243
166,2003,11,165,246
167,2003,12,200,276
168,2004,1,157,229
169,2004,2,159,233
170,2004,3,165,234
171,2004,4,183,214
172,2004,5,208,240
173,2004,6,179,201
174,2004,7,160,179
175,2004,8,169,183
176,2004,9,193,241
177,2004,10,208,262
178,2004,11,227,224
179,2004,12,266,262
180,2005,1,203,216
181,2005,2,196,212
182,2005,3,228,226
183,2005,4,222,214
184,2005,5,215,235
185,2005,6,169,212
186,2005,7,151,173
187,2005,8,164,189
188,2005,9,183,222
189,2005,10,196,253
190,2005,11,182,249
191,2005,12,215,289
192,2006,1,178,222
193,2006,2,178,220
194,2006,3,189,235
195,2006,4,215,222
196,2006,5,224,227
197,2006,6,203,209
198,2006,7,186,171
199,2006,8,205,175
200,2006,9,203,218
201,2006,10,222,236
202,2006,11,190,249
203,2006,12,203,288
204,2007,1,157,225
205,2007,2,144,229
206,2007,3,153,245
207,2007,4,173,221
208,2007,5,194,230
209,2007,6,170,220
210,2007,7,159,206
211,2007,8,154,192
212,2007,9,175,221
213,2007,10,203,256
214,2007,11,188,249
215,2007,12,221,289
216,2008,1,168,232
217,2008,2,182,247
218,2008,3,210,229
219,2008,4,238,228
220,2008,5,240,226
221,2008,6,229,217
222,2008,7,179,192
223,2008,8,162,193
224,2008,9,187,224
225,2008,10,203,252
226,2008,11,190,251
227,2008,12,216,290
228,2009,1,176,230
229,2009,2,168,239
230,2009,3,187,242
231,2009,4,200,239
232,2009,5,205,251
233,2009,6,184,231
234,2009,7,162,195
235,2009,8,187,195
236,2009,9,197,231
237,2009,10,204,259
238,2009,11,188,258
239,2009,12,201,280
240,2010,1,163,246
241,2010,2,158,255
242,2010,3,168,250
243,2010,4,192,224
244,2010,5,209,242
245,2010,6,180,213
246,2010,7,167,162
247,2010,8,196,176
248,2010,9,224,221
249,2010,10,243,255
250,2010,11,231,253
251,2010,12,243,281
252,2011,1,200,247
253,2011,2,195,242
254,2011,3,239,261
255,2011,4,237,222
256,2011,5,221,247
257,2011,6,188,223
258,2011,7,160,192
259,2011,8,172,192
260,2011,9,194,232
261,2011,10,221,246
262,2011,11,197,267
263,2011,12,216,293
264,2012,1,184,236
265,2012,2,189,246
266,2012,3,203,242
267,2012,4,218,234
268,2012,5,223,248
269,2012,6,189,219
270,2012,7,179,189
271,2012,8,164,201
272,2012,9,174,216
273,2012,10,197,243
274,2012,11,186,266
275,2012,12,224,302
276,2013,1,192,242
277,2013,2,184,236
278,2013,3,198,237
279,2013,4,216,236
280,2013,5,195,237
281,2013,6,178,231
282,2013,7,160,187
283,2013,8,168,191
284,2013,9,198,224
285,2013,10,219,265
286,2013,11,221,252
287,2013,12,275,302
288,2014,1,216,262
289,2014,2,207,243
290,2014,3,216,250
291,2014,4,211,233
292,2014,5,206,253
293,2014,6,191,223
294,2014,7,162,188
295,2014,8,182,204
296,2014,9,200,245
297,2014,10,210,264
298,2014,11,194,269
299,2014,12,231,308
300,2015,1,189,261
301,2015,2,180,274
302,2015,3,192,272
303,2015,4,219,249
304,2015,5,223,246
305,2015,6,220,228
306,2015,7,185,202
307,2015,8,203,193
308,2015,9,223,245
309,2015,10,227,273
310,2015,11,205,264
311,2015,12,233,305
312,2016,1,183,251
313,2016,2,186,262
314,2016,3,191,254
315,2016,4,202,241
316,2016,5,232,233
317,2016,6,201,224
318,2016,7,172,184
319,2016,8,194,190
320,2016,9,247,183
321,2016,10,329,231
322,2016,11,296,243
323,2016,12,283,284
324,2017,1,215,235
325,2017,2,205,237
326,2017,3,227,239
327,2017,4,235,235
328,2017,5,218,236
329,2017,6,192,217
330,2017,7,154,174
331,2017,8,168,207
332,2017,9,177,245
333,2017,10,196,276
334,2017,11,206,252
335,2017,12,253,288
