,year,month,Purchase amount,Purchase quantity
0,1990,1,181,95
1,1990,2,207,88
2,1990,3,255,128
3,1990,4,242,150
4,1990,5,258,185
5,1990,6,190,186
6,1990,7,217,182
7,1990,8,279,149
8,1990,9,288,154
9,1990,10,246,117
10,1990,11,217,102
11,1990,12,245,112
12,1991,1,214,79
13,1991,2,222,86
14,1991,3,270,124
15,1991,4,265,152
16,1991,5,232,180
17,1991,6,200,160
18,1991,7,246,158
19,1991,8,279,155
20,1991,9,258,156
21,1991,10,231,85
22,1991,11,206,74
23,1991,12,247,140
24,1992,1,181,103
25,1992,2,188,108
26,1992,3,199,153
27,1992,4,203,138
28,1992,5,208,154
29,1992,6,225,150
30,1992,7,207,177
31,1992,8,225,176
32,1992,9,227,176
33,1992,10,166,163
34,1992,11,126,132
35,1992,12,173,123
36,1993,1,164,86
37,1993,2,180,73
38,1993,3,232,113
39,1993,4,234,147
40,1993,5,227,160
41,1993,6,224,163
42,1993,7,276,158
43,1993,8,308,133
44,1993,9,267,108
45,1993,10,223,134
46,1993,11,131,130
47,1993,12,203,105
48,1994,1,194,78
49,1994,2,197,79
50,1994,3,228,124
51,1994,4,180,159
52,1994,5,178,172
53,1994,6,168,158
54,1994,7,198,169
55,1994,8,257,143
56,1994,9,264,149
57,1994,10,242,115
58,1994,11,209,112
59,1994,12,216,136
60,1995,1,173,89
61,1995,2,192,103
62,1995,3,189,134
63,1995,4,189,153
64,1995,5,226,160
65,1995,6,220,149
66,1995,7,235,144
67,1995,8,270,168
68,1995,9,228,163
69,1995,10,183,156
70,1995,11,135,133
71,1995,12,189,111
72,1996,1,178,88
73,1996,2,184,89
74,1996,3,219,134
75,1996,4,218,148
76,1996,5,234,183
77,1996,6,214,196
78,1996,7,218,187
79,1996,8,168,143
80,1996,9,164,142
81,1996,10,153,129
82,1996,11,130,108
83,1996,12,187,98
84,1997,1,167,93
85,1997,2,156,114
86,1997,3,166,154
87,1997,4,190,137
88,1997,5,217,171
89,1997,6,222,151
90,1997,7,209,164
91,1997,8,238,146
92,1997,9,219,157
93,1997,10,203,134
94,1997,11,134,136
95,1997,12,168,117
96,1998,1,155,97
97,1998,2,168,84
98,1998,3,220,109
99,1998,4,250,140
100,1998,5,287,162
101,1998,6,224,153
102,1998,7,211,172
103,1998,8,226,160
104,1998,9,227,109
105,1998,10,204,69
106,1998,11,216,87
107,1998,12,243,134
108,1999,1,173,115
109,1999,2,155,128
110,1999,3,155,153
111,1999,4,181,148
112,1999,5,192,190
113,1999,6,164,187
114,1999,7,192,160
115,1999,8,267,139
116,1999,9,248,157
117,1999,10,220,130
118,1999,11,155,129
119,1999,12,165,127
120,2000,1,150,99
121,2000,2,146,91
122,2000,3,192,121
123,2000,4,186,163
124,2000,5,183,194
125,2000,6,173,181
126,2000,7,202,182
127,2000,8,239,157
128,2000,9,231,148
129,2000,10,202,147
130,2000,11,156,126
131,2000,12,199,106
132,2001,1,173,76
133,2001,2,171,71
134,2001,3,214,148
135,2001,4,181,182
136,2001,5,178,192
137,2001,6,174,178
138,2001,7,190,182
139,2001,8,222,173
140,2001,9,208,129
141,2001,10,195,144
142,2001,11,128,127
143,2001,12,153,128
144,2002,1,153,109
145,2002,2,135,112
146,2002,3,149,162
147,2002,4,156,159
148,2002,5,196,172
149,2002,6,208,173
150,2002,7,200,189
151,2002,8,241,173
152,2002,9,221,153
153,2002,10,180,154
154,2002,11,147,104
155,2002,12,192,120
156,2003,1,171,84
157,2003,2,177,93
158,2003,3,199,139
159,2003,4,209,167
160,2003,5,212,192
161,2003,6,176,171
162,2003,7,184,192
163,2003,8,188,121
164,2003,9,233,140
165,2003,10,161,167
166,2003,11,109,125
167,2003,12,156,102
168,2004,1,160,96
169,2004,2,163,102
170,2004,3,183,136
171,2004,4,181,169
172,2004,5,181,179
173,2004,6,194,168
174,2004,7,195,187
175,2004,8,205,162
176,2004,9,215,158
177,2004,10,161,86
178,2004,11,162,72
179,2004,12,176,101
180,2005,1,156,100
181,2005,2,158,108
182,2005,3,184,129
183,2005,4,186,168
184,2005,5,177,187
185,2005,6,153,189
186,2005,7,172,197
187,2005,8,176,175
188,2005,9,195,153
189,2005,10,169,161
190,2005,11,142,140
191,2005,12,159,118
192,2006,1,155,72
193,2006,2,160,109
194,2006,3,162,154
195,2006,4,177,179
196,2006,5,187,178
197,2006,6,191,190
198,2006,7,177,183
199,2006,8,230,159
200,2006,9,212,174
201,2006,10,175,176
202,2006,11,117,145
203,2006,12,138,130
204,2007,1,139,102
205,2007,2,143,118
206,2007,3,162,132
207,2007,4,192,149
208,2007,5,209,181
209,2007,6,188,195
210,2007,7,200,182
211,2007,8,237,160
212,2007,9,229,169
213,2007,10,204,157
214,2007,11,145,154
215,2007,12,160,133
216,2008,1,133,127
217,2008,2,137,104
218,2008,3,177,147
219,2008,4,175,169
220,2008,5,174,206
221,2008,6,169,171
222,2008,7,180,201
223,2008,8,193,176
224,2008,9,199,129
225,2008,10,188,150
226,2008,11,139,132
227,2008,12,171,111
228,2009,1,155,92
229,2009,2,154,134
230,2009,3,170,145
231,2009,4,199,170
232,2009,5,203,195
233,2009,6,177,196
234,2009,7,177,218
235,2009,8,206,139
236,2009,9,212,182
237,2009,10,152,191
238,2009,11,112,143
239,2009,12,142,118
240,2010,1,144,88
241,2010,2,153,112
242,2010,3,173,145
243,2010,4,207,138
244,2010,5,205,179
245,2010,6,180,195
246,2010,7,178,188
247,2010,8,211,140
248,2010,9,219,158
249,2010,10,189,132
250,2010,11,159,122
251,2010,12,158,145
252,2011,1,133,98
253,2011,2,157,92
254,2011,3,176,158
255,2011,4,164,170
256,2011,5,160,201
257,2011,6,177,195
258,2011,7,202,223
259,2011,8,193,172
260,2011,9,208,114
261,2011,10,208,155
262,2011,11,142,154
263,2011,12,162,128
264,2012,1,180,101
265,2012,2,171,92
266,2012,3,209,115
267,2012,4,229,165
268,2012,5,225,197
269,2012,6,197,211
270,2012,7,200,228
271,2012,8,205,200
272,2012,9,206,211
273,2012,10,182,180
274,2012,11,153,140
275,2012,12,196,101
276,2013,1,176,75
277,2013,2,183,101
278,2013,3,205,191
279,2013,4,195,183
280,2013,5,206,219
281,2013,6,201,250
282,2013,7,237,215
283,2013,8,241,211
284,2013,9,248,182
285,2013,10,229,178
286,2013,11,196,119
287,2013,12,222,115
288,2014,1,204,103
289,2014,2,191,130
290,2014,3,208,182
291,2014,4,195,180
292,2014,5,215,225
293,2014,6,207,218
294,2014,7,220,212
295,2014,8,240,166
296,2014,9,245,118
297,2014,10,225,211
298,2014,11,156,164
299,2014,12,189,118
300,2015,1,203,103
301,2015,2,195,122
302,2015,3,223,157
303,2015,4,250,163
304,2015,5,285,226
305,2015,6,238,226
306,2015,7,248,195
307,2015,8,280,180
308,2015,9,262,138
309,2015,10,248,145
310,2015,11,176,179
311,2015,12,183,132
312,2016,1,177,105
313,2016,2,193,114
314,2016,3,228,135
315,2016,4,249,191
316,2016,5,251,236
317,2016,6,241,232
318,2016,7,236,248
319,2016,8,233,214
320,2016,9,260,164
321,2016,10,240,94
322,2016,11,242,132
323,2016,12,231,138
324,2017,1,195,136
325,2017,2,198,142
326,2017,3,218,195
327,2017,4,231,198
328,2017,5,238,249
329,2017,6,209,231
330,2017,7,208,260
331,2017,8,233,211
332,2017,9,251,188
333,2017,10,196,200
334,2017,11,185,84
335,2017,12,216,75
