,year,month,Purchase amount,Purchase quantity
0,1990,1,115,84
1,1990,2,122,84
2,1990,3,107,72
3,1990,4,72,46
4,1990,5,57,31
5,1990,6,56,25
6,1990,7,85,44
7,1990,8,122,73
8,1990,9,221,134
9,1990,10,260,160
10,1990,11,202,132
11,1990,12,349,200
12,1991,1,142,79
13,1991,2,166,92
14,1991,3,140,75
15,1991,4,91,48
16,1991,5,64,32
17,1991,6,64,27
18,1991,7,82,35
19,1991,8,151,73
20,1991,9,247,151
21,1991,10,265,187
22,1991,11,191,157
23,1991,12,250,195
24,1992,1,113,92
25,1992,2,135,115
26,1992,3,112,97
27,1992,4,84,70
28,1992,5,70,49
29,1992,6,73,39
30,1992,7,72,39
31,1992,8,118,71
32,1992,9,223,153
33,1992,10,221,165
34,1992,11,186,139
35,1992,12,304,191
36,1993,1,136,81
37,1993,2,146,81
38,1993,3,129,70
39,1993,4,87,44
40,1993,5,56,25
41,1993,6,64,29
42,1993,7,91,41
43,1993,8,137,66
44,1993,9,247,141
45,1993,10,248,169
46,1993,11,182,137
47,1993,12,296,204
48,1994,1,125,84
49,1994,2,138,95
50,1994,3,120,78
51,1994,4,78,51
52,1994,5,56,31
53,1994,6,64,31
54,1994,7,70,40
55,1994,8,112,59
56,1994,9,206,110
57,1994,10,245,150
58,1994,11,210,154
59,1994,12,299,203
60,1995,1,132,86
61,1995,2,136,83
62,1995,3,123,71
63,1995,4,93,57
64,1995,5,73,40
65,1995,6,68,35
66,1995,7,70,36
67,1995,8,111,61
68,1995,9,228,136
69,1995,10,214,154
70,1995,11,194,158
71,1995,12,296,219
72,1996,1,128,91
73,1996,2,140,95
74,1996,3,119,76
75,1996,4,104,68
76,1996,5,72,40
77,1996,6,69,35
78,1996,7,68,34
79,1996,8,133,71
80,1996,9,224,145
81,1996,10,238,179
82,1996,11,187,148
83,1996,12,299,216
84,1997,1,130,94
85,1997,2,134,96
86,1997,3,111,79
87,1997,4,91,66
88,1997,5,74,45
89,1997,6,68,37
90,1997,7,75,41
91,1997,8,127,82
92,1997,9,205,153
93,1997,10,199,168
94,1997,11,150,138
95,1997,12,241,198
96,1998,1,112,90
97,1998,2,121,99
98,1998,3,107,91
99,1998,4,76,59
100,1998,5,66,45
101,1998,6,64,36
102,1998,7,68,46
103,1998,8,103,74
104,1998,9,180,137
105,1998,10,207,170
106,1998,11,147,134
107,1998,12,202,178
108,1999,1,89,80
109,1999,2,95,86
110,1999,3,84,77
111,1999,4,67,56
112,1999,5,53,37
113,1999,6,58,35
114,1999,7,58,33
115,1999,8,89,53
116,1999,9,171,124
117,1999,10,171,152
118,1999,11,126,126
119,1999,12,183,165
120,2000,1,84,77
121,2000,2,104,93
122,2000,3,83,69
123,2000,4,65,51
124,2000,5,47,31
125,2000,6,47,27
126,2000,7,50,29
127,2000,8,86,59
128,2000,9,157,122
129,2000,10,165,147
130,2000,11,140,133
131,2000,12,195,165
132,2001,1,94,80
133,2001,2,92,78
134,2001,3,79,66
135,2001,4,54,46
136,2001,5,49,35
137,2001,6,45,27
138,2001,7,44,29
139,2001,8,84,60
140,2001,9,151,120
141,2001,10,166,144
142,2001,11,132,127
143,2001,12,191,166
144,2002,1,86,84
145,2002,2,89,76
146,2002,3,78,69
147,2002,4,58,50
148,2002,5,56,42
149,2002,6,46,28
150,2002,7,40,27
151,2002,8,76,52
152,2002,9,136,104
153,2002,10,139,128
154,2002,11,135,120
155,2002,12,186,161
156,2003,1,83,71
157,2003,2,87,75
158,2003,3,76,60
159,2003,4,61,57
160,2003,5,49,33
161,2003,6,38,25
162,2003,7,50,33
163,2003,8,73,51
164,2003,9,110,79
165,2003,10,147,140
166,2003,11,104,106
167,2003,12,161,150
168,2004,1,78,75
169,2004,2,84,77
170,2004,3,76,69
171,2004,4,51,49
172,2004,5,40,35
173,2004,6,42,33
174,2004,7,38,25
175,2004,8,54,39
176,2004,9,126,104
177,2004,10,151,136
178,2004,11,122,116
179,2004,12,161,151
180,2005,1,85,89
181,2005,2,79,75
182,2005,3,73,69
183,2005,4,55,58
184,2005,5,45,39
185,2005,6,38,30
186,2005,7,38,28
187,2005,8,62,49
188,2005,9,117,99
189,2005,10,131,139
190,2005,11,112,113
191,2005,12,171,156
192,2006,1,79,76
193,2006,2,77,67
194,2006,3,72,63
195,2006,4,54,43
196,2006,5,42,34
197,2006,6,33,20
198,2006,7,32,22
199,2006,8,57,37
200,2006,9,129,104
201,2006,10,145,129
202,2006,11,116,113
203,2006,12,170,148
204,2007,1,80,69
205,2007,2,74,62
206,2007,3,70,60
207,2007,4,51,40
208,2007,5,39,28
209,2007,6,31,19
210,2007,7,31,18
211,2007,8,55,33
212,2007,9,120,86
213,2007,10,152,128
214,2007,11,112,100
215,2007,12,172,138
216,2008,1,80,72
217,2008,2,87,67
218,2008,3,64,46
219,2008,4,45,33
220,2008,5,34,23
221,2008,6,30,15
222,2008,7,27,15
223,2008,8,55,37
224,2008,9,119,86
225,2008,10,147,121
226,2008,11,123,111
227,2008,12,168,149
228,2009,1,77,67
229,2009,2,72,63
230,2009,3,68,63
231,2009,4,47,41
232,2009,5,31,23
233,2009,6,28,19
234,2009,7,28,15
235,2009,8,58,36
236,2009,9,127,106
237,2009,10,142,126
238,2009,11,107,113
239,2009,12,166,148
240,2010,1,71,68
241,2010,2,68,67
242,2010,3,59,55
243,2010,4,48,40
244,2010,5,31,21
245,2010,6,25,13
246,2010,7,25,16
247,2010,8,49,33
248,2010,9,108,87
249,2010,10,135,114
250,2010,11,115,104
251,2010,12,165,120
252,2011,1,82,63
253,2011,2,73,58
254,2011,3,64,46
255,2011,4,44,31
256,2011,5,31,23
257,2011,6,24,13
258,2011,7,28,14
259,2011,8,51,31
260,2011,9,115,86
261,2011,10,134,100
262,2011,11,104,95
263,2011,12,170,143
264,2012,1,80,69
265,2012,2,79,67
266,2012,3,63,56
267,2012,4,47,39
268,2012,5,32,25
269,2012,6,29,18
270,2012,7,26,14
271,2012,8,41,26
272,2012,9,94,74
273,2012,10,128,108
274,2012,11,103,93
275,2012,12,166,135
276,2013,1,68,62
277,2013,2,67,63
278,2013,3,58,50
279,2013,4,41,39
280,2013,5,28,19
281,2013,6,22,13
282,2013,7,21,12
283,2013,8,42,27
284,2013,9,105,68
285,2013,10,134,105
286,2013,11,114,93
287,2013,12,186,135
288,2014,1,76,51
289,2014,2,69,51
290,2014,3,56,37
291,2014,4,43,31
292,2014,5,25,15
293,2014,6,23,10
294,2014,7,23,11
295,2014,8,47,25
296,2014,9,117,73
297,2014,10,128,94
298,2014,11,110,92
299,2014,12,188,135
300,2015,1,76,58
301,2015,2,71,58
302,2015,3,67,49
303,2015,4,48,40
304,2015,5,32,17
305,2015,6,24,11
306,2015,7,24,13
307,2015,8,48,22
308,2015,9,116,67
309,2015,10,159,97
310,2015,11,113,85
311,2015,12,186,130
312,2016,1,75,53
313,2016,2,79,55
314,2016,3,64,45
315,2016,4,43,24
316,2016,5,31,19
317,2016,6,22,12
318,2016,7,20,9
319,2016,8,35,17
320,2016,9,106,63
321,2016,10,147,94
322,2016,11,119,92
323,2016,12,161,108
324,2017,1,70,50
325,2017,2,71,49
326,2017,3,61,45
327,2017,4,45,32
328,2017,5,26,18
329,2017,6,21,12
330,2017,7,17,8
331,2017,8,38,19
332,2017,9,97,60
333,2017,10,128,87
334,2017,11,122,93
335,2017,12,174,122
