,year,month,Purchase amount,Purchase quantity
0,1990,1,70,21
1,1990,2,83,26
2,1990,3,215,74
3,1990,4,382,230
4,1990,5,136,65
5,1990,6,81,31
6,1990,7,66,22
7,1990,8,73,22
8,1990,9,83,27
9,1990,10,99,32
10,1990,11,85,27
11,1990,12,188,58
12,1991,1,69,21
13,1991,2,85,26
14,1991,3,141,43
15,1991,4,413,206
16,1991,5,163,66
17,1991,6,91,31
18,1991,7,69,21
19,1991,8,73,22
20,1991,9,86,25
21,1991,10,100,30
22,1991,11,81,25
23,1991,12,189,55
24,1992,1,76,23
25,1992,2,93,28
26,1992,3,188,58
27,1992,4,438,225
28,1992,5,158,68
29,1992,6,105,36
30,1992,7,75,23
31,1992,8,73,22
32,1992,9,93,27
33,1992,10,90,27
34,1992,11,82,25
35,1992,12,183,53
36,1993,1,71,21
37,1993,2,86,26
38,1993,3,137,40
39,1993,4,438,197
40,1993,5,183,80
41,1993,6,96,35
42,1993,7,86,28
43,1993,8,84,26
44,1993,9,99,31
45,1993,10,89,29
46,1993,11,81,26
47,1993,12,186,58
48,1994,1,76,24
49,1994,2,82,26
50,1994,3,115,37
51,1994,4,351,170
52,1994,5,144,66
53,1994,6,92,33
54,1994,7,62,21
55,1994,8,71,23
56,1994,9,81,27
57,1994,10,87,30
58,1994,11,81,29
59,1994,12,166,57
60,1995,1,66,23
61,1995,2,77,27
62,1995,3,119,41
63,1995,4,327,138
64,1995,5,182,84
65,1995,6,98,40
66,1995,7,68,25
67,1995,8,66,23
68,1995,9,89,32
69,1995,10,76,29
70,1995,11,70,27
71,1995,12,159,59
72,1996,1,65,24
73,1996,2,76,29
74,1996,3,135,47
75,1996,4,383,161
76,1996,5,191,93
77,1996,6,89,36
78,1996,7,66,23
79,1996,8,70,24
80,1996,9,76,27
81,1996,10,78,28
82,1996,11,68,25
83,1996,12,163,58
84,1997,1,66,24
85,1997,2,80,29
86,1997,3,162,56
87,1997,4,357,187
88,1997,5,139,61
89,1997,6,85,34
90,1997,7,63,21
91,1997,8,70,23
92,1997,9,74,26
93,1997,10,72,26
94,1997,11,66,25
95,1997,12,158,56
96,1998,1,62,23
97,1998,2,81,30
98,1998,3,163,54
99,1998,4,294,160
100,1998,5,125,55
101,1998,6,75,29
102,1998,7,59,21
103,1998,8,61,22
104,1998,9,71,26
105,1998,10,83,32
106,1998,11,70,27
107,1998,12,147,54
108,1999,1,58,22
109,1999,2,69,26
110,1999,3,133,48
111,1999,4,365,185
112,1999,5,121,58
113,1999,6,71,34
114,1999,7,53,21
115,1999,8,54,20
116,1999,9,63,24
117,1999,10,64,25
118,1999,11,57,23
119,1999,12,128,49
120,2000,1,52,21
121,2000,2,65,26
122,2000,3,113,42
123,2000,4,311,147
124,2000,5,134,72
125,2000,6,75,34
126,2000,7,49,19
127,2000,8,50,21
128,2000,9,57,25
129,2000,10,58,26
130,2000,11,56,26
131,2000,12,124,53
132,2001,1,53,24
133,2001,2,61,26
134,2001,3,114,49
135,2001,4,274,149
136,2001,5,111,58
137,2001,6,72,36
138,2001,7,46,20
139,2001,8,53,22
140,2001,9,57,24
141,2001,10,53,23
142,2001,11,53,24
143,2001,12,125,51
144,2002,1,49,20
145,2002,2,58,26
146,2002,3,142,56
147,2002,4,285,186
148,2002,5,109,66
149,2002,6,61,27
150,2002,7,51,20
151,2002,8,51,20
152,2002,9,54,21
153,2002,10,56,24
154,2002,11,52,23
155,2002,12,118,45
156,2003,1,47,20
157,2003,2,54,21
158,2003,3,115,46
159,2003,4,265,152
160,2003,5,111,53
161,2003,6,70,32
162,2003,7,51,20
163,2003,8,45,18
164,2003,9,47,17
165,2003,10,49,20
166,2003,11,42,18
167,2003,12,113,44
168,2004,1,50,19
169,2004,2,59,25
170,2004,3,112,46
171,2004,4,285,177
172,2004,5,106,66
173,2004,6,68,36
174,2004,7,41,16
175,2004,8,50,20
176,2004,9,54,19
177,2004,10,57,24
178,2004,11,49,21
179,2004,12,115,45
180,2005,1,46,18
181,2005,2,54,23
182,2005,3,84,32
183,2005,4,245,131
184,2005,5,113,56
185,2005,6,91,45
186,2005,7,53,26
187,2005,8,47,18
188,2005,9,51,22
189,2005,10,49,20
190,2005,11,45,19
191,2005,12,115,43
192,2006,1,46,20
193,2006,2,51,21
194,2006,3,101,40
195,2006,4,265,148
196,2006,5,112,72
197,2006,6,59,32
198,2006,7,44,17
199,2006,8,45,18
200,2006,9,48,19
201,2006,10,45,19
202,2006,11,40,17
203,2006,12,107,42
204,2007,1,41,17
205,2007,2,48,20
206,2007,3,89,36
207,2007,4,283,164
208,2007,5,115,56
209,2007,6,63,31
210,2007,7,46,16
211,2007,8,43,15
212,2007,9,49,17
213,2007,10,50,19
214,2007,11,40,14
215,2007,12,118,37
216,2008,1,42,14
217,2008,2,44,14
218,2008,3,87,30
219,2008,4,250,140
220,2008,5,94,55
221,2008,6,68,30
222,2008,7,46,16
223,2008,8,40,12
224,2008,9,45,12
225,2008,10,48,14
226,2008,11,36,11
227,2008,12,111,28
