,year,month,Purchase amount,Purchase quantity
0,1990,1,217,327
1,1990,2,262,382
2,1990,3,303,424
3,1990,4,327,471
4,1990,5,323,492
5,1990,6,254,382
6,1990,7,223,337
7,1990,8,232,350
8,1990,9,253,400
9,1990,10,264,440
10,1990,11,240,384
11,1990,12,251,396
12,1991,1,229,332
13,1991,2,257,370
14,1991,3,299,416
15,1991,4,333,455
16,1991,5,351,471
17,1991,6,285,398
18,1991,7,254,358
19,1991,8,259,352
20,1991,9,279,401
21,1991,10,306,468
22,1991,11,260,408
23,1991,12,252,385
24,1992,1,220,323
25,1992,2,260,391
26,1992,3,280,420
27,1992,4,291,445
28,1992,5,303,490
29,1992,6,245,440
30,1992,7,184,344
31,1992,8,182,343
32,1992,9,203,394
33,1992,10,217,446
34,1992,11,200,398
35,1992,12,205,403
36,1993,1,181,334
37,1993,2,211,395
38,1993,3,234,437
39,1993,4,267,433
40,1993,5,335,498
41,1993,6,259,418
42,1993,7,256,379
43,1993,8,280,339
44,1993,9,344,410
45,1993,10,309,491
46,1993,11,237,422
47,1993,12,245,429
48,1994,1,211,339
49,1994,2,249,401
50,1994,3,299,418
51,1994,4,326,451
52,1994,5,298,503
53,1994,6,228,362
54,1994,7,208,310
55,1994,8,237,333
56,1994,9,255,373
57,1994,10,270,397
58,1994,11,248,358
59,1994,12,274,387
60,1995,1,247,316
61,1995,2,293,362
62,1995,3,332,410
63,1995,4,359,441
64,1995,5,370,510
65,1995,6,278,402
66,1995,7,223,318
67,1995,8,224,325
68,1995,9,252,391
69,1995,10,236,413
70,1995,11,221,386
71,1995,12,228,384
72,1996,1,214,325
73,1996,2,256,395
74,1996,3,286,439
75,1996,4,310,463
76,1996,5,317,496
77,1996,6,246,420
78,1996,7,205,343
79,1996,8,212,340
80,1996,9,234,381
81,1996,10,246,436
82,1996,11,223,404
83,1996,12,228,392
84,1997,1,211,336
85,1997,2,246,401
86,1997,3,268,432
87,1997,4,295,467
88,1997,5,282,519
89,1997,6,207,373
90,1997,7,195,340
91,1997,8,206,334
92,1997,9,238,396
93,1997,10,241,430
94,1997,11,224,395
95,1997,12,233,398
96,1998,1,235,384
97,1998,2,236,372
98,1998,3,303,436
99,1998,4,328,459
100,1998,5,338,502
101,1998,6,270,380
102,1998,7,246,341
103,1998,8,272,357
104,1998,9,314,437
105,1998,10,329,528
106,1998,11,283,472
107,1998,12,260,435
108,1999,1,235,380
109,1999,2,256,420
110,1999,3,280,453
111,1999,4,290,460
112,1999,5,290,473
113,1999,6,228,389
114,1999,7,200,350
115,1999,8,207,346
116,1999,9,228,409
117,1999,10,240,431
118,1999,11,216,384
119,1999,12,236,413
120,2000,1,206,340
121,2000,2,241,412
122,2000,3,268,435
123,2000,4,277,443
124,2000,5,259,484
125,2000,6,194,411
126,2000,7,163,341
127,2000,8,169,356
128,2000,9,198,408
129,2000,10,214,429
130,2000,11,211,421
131,2000,12,205,383
132,2001,1,209,363
133,2001,2,230,396
134,2001,3,254,415
135,2001,4,276,452
136,2001,5,265,467
137,2001,6,203,382
138,2001,7,175,324
139,2001,8,203,343
140,2001,9,225,420
141,2001,10,215,422
142,2001,11,196,394
143,2001,12,192,385
144,2002,1,188,370
145,2002,2,195,411
146,2002,3,236,449
147,2002,4,238,477
148,2002,5,226,482
149,2002,6,181,407
150,2002,7,163,326
151,2002,8,191,360
152,2002,9,215,422
153,2002,10,215,480
154,2002,11,210,427
155,2002,12,217,432
156,2003,1,207,388
157,2003,2,225,381
158,2003,3,301,417
159,2003,4,335,454
160,2003,5,320,473
161,2003,6,232,367
162,2003,7,202,334
163,2003,8,210,352
164,2003,9,227,359
165,2003,10,209,395
166,2003,11,185,365
167,2003,12,207,397
168,2004,1,206,364
169,2004,2,244,414
170,2004,3,290,468
171,2004,4,299,494
172,2004,5,275,512
173,2004,6,201,383
174,2004,7,178,304
175,2004,8,208,325
176,2004,9,230,394
177,2004,10,258,500
178,2004,11,221,404
179,2004,12,222,384
180,2005,1,225,363
181,2005,2,250,390
182,2005,3,306,442
183,2005,4,332,470
184,2005,5,300,503
185,2005,6,196,378
186,2005,7,180,338
187,2005,8,188,338
188,2005,9,214,397
189,2005,10,234,446
190,2005,11,208,406
191,2005,12,227,391
192,2006,1,228,367
193,2006,2,247,406
194,2006,3,279,444
195,2006,4,314,474
196,2006,5,299,531
197,2006,6,212,404
198,2006,7,194,340
199,2006,8,205,337
200,2006,9,224,400
201,2006,10,241,427
202,2006,11,220,419
203,2006,12,222,414
204,2007,1,230,381
205,2007,2,233,387
206,2007,3,286,475
207,2007,4,290,517
208,2007,5,240,500
209,2007,6,173,375
210,2007,7,179,360
211,2007,8,187,351
212,2007,9,209,425
213,2007,10,233,439
214,2007,11,212,430
215,2007,12,214,411
216,2008,1,214,423
217,2008,2,241,444
218,2008,3,274,496
219,2008,4,301,538
220,2008,5,272,558
221,2008,6,201,385
222,2008,7,173,332
223,2008,8,185,361
224,2008,9,209,417
225,2008,10,223,449
226,2008,11,210,440
227,2008,12,201,404
228,2009,1,210,416
229,2009,2,219,425
230,2009,3,266,482
231,2009,4,287,507
232,2009,5,266,512
233,2009,6,204,396
234,2009,7,185,350
235,2009,8,232,354
236,2009,9,254,406
237,2009,10,250,452
238,2009,11,226,418
239,2009,12,238,407
240,2010,1,250,410
241,2010,2,275,412
242,2010,3,337,476
243,2010,4,369,540
244,2010,5,319,505
245,2010,6,230,410
246,2010,7,188,312
247,2010,8,208,340
248,2010,9,234,392
249,2010,10,271,416
250,2010,11,272,414
251,2010,12,286,378
